아비오호텔,https://place.map.kakao.com/352213466,강원 강릉시 창해로 229,033-640-6900,298642,X,O,O,X,O,X,http://www.avviohotel.com,/accommodation_images/gangneung/1_1,/accommodation_images/gangneung/1_2
심상,https://place.map.kakao.com/83445997,강원 강릉시 사천면 손맞이길 91-12,010-2339-4417,1200000,O,O,O,X,X,X,https://www.instagram.com/simsang_stay/,/accommodation_images/gangneung/2_1,/accommodation_images/gangneung/2_2
세인트존스호텔,https://place.map.kakao.com/1613530490,강원 강릉시 창해로 307,033-660-9500,388000,X,O,O,O,O,O,https://new.stjohns.co.kr,/accommodation_images/gangneung/3_1,/accommodation_images/gangneung/3_2
임영고택,https://place.map.kakao.com/1980945369,강원 강릉시 홍제로19번길 10,0507-1323-1713,1850000,O,X,X,X,O,O,https://link.inpock.co.kr/imyoung_gotaek,/accommodation_images/gangneung/4_1,/accommodation_images/gangneung/4_2
미풍언덕,https://place.map.kakao.com/1647846373,강원 강릉시 골말길 13,0507-1478-6674,881000,X,O,X,X,O,O,https://link.inpock.co.kr/mipungunduck,/accommodation_images/gangneung/5_1,/accommodation_images/gangneung/5_2
SL호텔강릉,https://place.map.kakao.com/1590732817,강원 강릉시 주문진읍 주문로 59,033-920-1800,304000,X,O,X,O,O,X,http://www.slhotelgangneung.co.kr,/accommodation_images/gangneung/6_1,/accommodation_images/gangneung/6_2
파인아트라벨호텔,https://place.map.kakao.com/265504600,강원 강릉시 해안로 32,033-651-7722,276000,X,O,X,O,O,X,http://www.anmok-art.co.kr,/accommodation_images/gangneung/7_1,/accommodation_images/gangneung/7_2
노마드인강릉,https://place.map.kakao.com/1393071751,강원 강릉시 송정길33번길 25-16,0507-1315-6296,108000,O,O,X,O,X,X,https://blog.naver.com/nomadinngn,/accommodation_images/gangneung/8_1,/accommodation_images/gangneung/8_2
강릉씨티호텔,https://place.map.kakao.com/1299944638,강원 강릉시 교동광장로 112,033-655-8700,333000,X,O,X,X,O,O,https://www.gnchotel.com,/accommodation_images/gangneung/9_1,/accommodation_images/gangneung/9_2
게스트하우스 시호일,https://place.map.kakao.com/1988781047,강원 강릉시 율곡로 2899-1,033-648-7200,850000,O,O,X,X,O,O,https://www.instagram.com/sihoil_official/,/accommodation_images/gangneung/10_1,/accommodation_images/gangneung/10_2
