소호259하우스,http://kko.to/BS_PC3r6z,강원 속초시 수복로259번길 11-3,010-2047-0259,200000,O,O,X,O,X,O,http://soho259.co.kr/brandstory,/accommodation_images/sokcho/1_1,/accommodation_images/sokcho/1_2
체스터톤스,http://kko.to/PD8A4JGze,강원 속초시 엑스포로 109,033-632-0001,380455,O,O,X,O,X,O,https://www.chestertonskr-sokcho.coma/,/accommodation_images/sokcho/2_1,/accommodation_images/sokcho/2_2
마리나베이,http://kko.to/HWgNrEJzT,강원 속초시 청초호반로 28,033-637-6600,256185,X,O,X,O,O,O,https://www.marinabaysokcho.com/,/accommodation_images/sokcho/3_1,/accommodation_images/sokcho/3_2
썬라이즈호텔,http://kko.to/seTwhJ1pL,강원 속초시 청초호반로 291,033-800-8888,309965,O,O,X,O,X,O,http://sunrisehotel.co.kr/,/accommodation_images/sokcho/4_1,/accommodation_images/sokcho/4_2
더 클래스 300 호텔,http://kko.to/dWdp4fwfA,강원 속초시 동해대로 3915,033-630-0900,320930,X,O,X,O,O,X,http://www.theclass300.com/,/accommodation_images/sokcho/5_1,/accommodation_images/sokcho/5_2
어반스테이 속초 등대,http://kko.to/X6-hpYiHG,강원 속초시 영랑해안8길 11,1644-7694,298525,X,O,X,O,O,O,https://urbanstay.co.kr/,/accommodation_images/sokcho/6_1,/accommodation_images/sokcho/6_2
굿모닝호텔앤리조트,http://kko.to/VYTsAxKre,강원 속초시 해오름로 204,033-632-3434,203910,X,O,X,O,O,O,http://www.xn--mf0bv5h8xhmnz3sf.com/,/accommodation_images/sokcho/7_1,/accommodation_images/sokcho/7_2
월드 스테이트 속초,http://kko.to/_peP1F2ZA,강원 속초시 청초호반로 291,070-4725-1064,361915,O,O,X,O,X,O,https://worldstate-sokcho.co.kr/kor/index.do,/accommodation_images/sokcho/8_1,/accommodation_images/sokcho/8_2
팜파스호텔&리조트,http://kko.to/xAC5La0tx,강원 속초히 동해대로3964-1층,1599-0583,377970,X,O,X,O,O,X,http://www.pampasresort.co.kr/,/accommodation_images/sokcho/9_1,/accommodation_images/sokcho/9_2
더마크속초 레지던스,http://kko.to/xV_eTR6Zy,강원 속초시 동해대로 3951,070-4256-6777,231125,X,O,X,O,O,X,http://sokcho.hotelthemark.co.kr/kor/index.do,/accommodation_images/sokcho/10_1,/accommodation_images/sokcho/10_2
굿스테이 호텔 아마란스,http://kko.to/NiOv_t5sf,강원 속초시 온천로 55,033-636-5252,227275,X,O,X,X,X,X,http://www.hotelamaranth.com/,/accommodation_images/sokcho/11_1,/accommodation_images/sokcho/11_2
더블루테라호텔,http://kko.to/yo-ZbY2qa,강원 속초시 동해대로 3920,033-633-2801,323815,X,X,X,O,O,X,http://www.theblueterrahotel.com/,/accommodation_images/sokcho/12_1,/accommodation_images/sokcho/12_2
속초 컨피네스 비치 호텔,http://kko.to/jtP_9juEL,강원 속초시 해오름로 171,1811-9494,326445,X,O,X,O,O,X,http://www.chonpinesbeach.com/html/main.asp,/accommodation_images/sokcho/13_1,/accommodation_images/sokcho/13_2
속초 브루클린,http://kko.to/ueK-v2hwi,강원 속초시 청초호반로 107 1~5층,0507-1423-3380,286155,O,O,X,O,X,O,https://brookyynhotel.modoo.at/,/accommodation_images/sokcho/14_1,/accommodation_images/sokcho/14_2
헤븐마크호텔,http://kko.to/_qmVS8n_i,강원 속초시 영랑해안8길 11 써밋베이속초,1670-1130,364805,X,X,X,O,O,O,https://blog.naver.com/heavenmark,/accommodation_images/sokcho/15_1,/accommodation_images/sokcho/15_2
씨크루즈호텔속초,http://kko.to/pejCnAKr8,강원 속초시 청초호반로 273,1644-8810,313270,O,O,X,O,X,O,http://seacruisehotel.com/index.php,/accommodation_images/sokcho/16_1,/accommodation_images/sokcho/16_2
라마다 속초 바이 윈덤,http://kko.to/uouTycWJX,강원 속초시 대포항희망길 106,1577-0130,445455,X,O,X,O,X,X,https://www.ramadasc.co.kr/,/accommodation_images/sokcho/17_1,/accommodation_images/sokcho/17_2
리센오션파크속초,http://kko.to/FSrLhlXID,강원 속초시 해오름로 167,1811-7711,319110,X,X,X,O,O,X,http://www.risenoceanparksokcho.com/,/accommodation_images/sokcho/18_1,/accommodation_images/sokcho/18_2
켄싱턴호텔 설악,http://kko.to/RdtGlry3U,강원 속초시 설악산로 998,033-635-4001,491770,X,O,O,X,X,X,https://kensington.co.kr/hsr/,/accommodation_images/sokcho/19_1,/accommodation_images/sokcho/19_2
호텔마레몬스,http://kko.to/Bcz7xLI_2,강원 속초시 동해대로 3705,033-630-7000,483020,X,X,X,O,X,X,https://maremonshotel.co.kr/,/accommodation_images/sokcho/20_1,/accommodation_images/sokcho/20_2
